Schedule,ChunkSize,Threads,ElapsedTime,ThreadID,Iterations
guided,1,4,0.040425,1,873458
guided,1,4,0.040425,2,7071403
guided,1,4,0.040425,3,3529064
guided,1,8,0.0122515,0,3451145
guided,1,8,0.0122515,1,1430549
guided,1,8,0.0122515,2,627519
guided,1,8,0.0122515,3,185764
guided,1,8,0.0122515,4,3437473
guided,1,8,0.0122515,5,2239215
guided,1,8,0.0122515,6,2273195
guided,1,8,0.0122515,7,473579
guided,2,1,0.0344045,0,14118439
guided,2,2,0.0196741,0,7300105
guided,2,2,0.0196741,1,6818334
guided,2,4,0.0201705,0,7071403
guided,2,4,0.0201705,1,873458
guided,2,4,0.0201705,2,3529064
guided,2,4,0.0201705,3,2644514
guided,2,8,0.0192263,0,2132980
guided,2,8,0.0192263,1,528825
guided,2,8,0.0192263,2,1314560
guided,2,8,0.0192263,3,257389
guided,2,8,0.0192263,4,756852
guided,2,8,0.0192263,5,3451145
guided,2,8,0.0192263,6,2239215
guided,2,8,0.0192263,7,3437473
guided,4,1,0.0347127,0,14118439
guided,4,2,0.026163,0,7300105
guided,4,2,0.026163,1,6818334
guided,4,4,0.044444,0,3529064
guided,4,4,0.044444,1,873458
guided,4,4,0.044444,2,7071403
guided,4,4,0.044444,3,2644514
guided,4,8,0.0179815,0,2239215
guided,4,8,0.0179815,1,2132980
guided,4,8,0.0179815,2,789399
guided,4,8,0.0179815,3,3451145
guided,4,8,0.0179815,4,459445
guided,4,8,0.0179815,5,3437473
guided,4,8,0.0179815,6,294222
guided,4,8,0.0179815,7,1314560
guided,16,1,0.0347859,0,14118439
guided,16,2,0.027832,0,7300105
guided,16,2,0.027832,1,6818334
guided,16,4,0.018437,0,7071403
guided,16,4,0.018437,1,873458
guided,16,4,0.018437,2,2644514
guided,16,4,0.018437,3,3529064
guided,16,8,0.0198748,0,842961
guided,16,8,0.0198748,1,3437473
guided,16,8,0.0198748,2,3451145
guided,16,8,0.0198748,3,2132980
guided,16,8,0.0198748,4,459445
guided,16,8,0.0198748,5,2239215
guided,16,8,0.0198748,6,240660
guided,16,8,0.0198748,7,1314560
guided,32,1,0.0341835,0,14118439
guided,32,2,0.0193916,0,7130574
guided,32,2,0.0193916,1,6987865
guided,32,4,0.0185068,0,7071403
guided,32,4,0.0185068,1,3529064
guided,32,4,0.0185068,2,873458
guided,32,4,0.0185068,3,2644514
guided,32,8,0.0136279,0,503165
guided,32,8,0.0136279,1,2132980
guided,32,8,0.0136279,2,3437473
guided,32,8,0.0136279,3,334533
guided,32,8,0.0136279,4,3451145
guided,32,8,0.0136279,5,705368
guided,32,8,0.0136279,6,2239215
guided,32,8,0.0136279,7,1314560
guided,400,1,0.0341081,0,14118439
guided,400,2,0.0193249,0,7014056
guided,400,2,0.0193249,1,7104383
guided,400,4,0.0455149,0,0
guided,400,4,0.0455149,1,7014056
guided,400,4,0.0455149,2,7104383
guided,400,4,0.0455149,3,0
guided,400,8,0.0207361,0,7104383
guided,400,8,0.0207361,1,0
guided,400,8,0.0207361,2,0
guided,400,8,0.0207361,3,0
guided,400,8,0.0207361,4,0
guided,400,8,0.0207361,5,7014056
guided,400,8,0.0207361,6,0
guided,400,8,0.0207361,7,0
guided,800,1,0.0340144,0,14118439
guided,800,2,0.0339292,0,14118439
guided,800,2,0.0339292,1,0
guided,800,4,0.0557062,0,0
guided,800,4,0.0557062,1,0
guided,800,4,0.0557062,2,14118439
guided,800,4,0.0557062,3,0
guided,800,8,0.0352023,0,14118439
guided,800,8,0.0352023,1,0
guided,800,8,0.0352023,2,0
guided,800,8,0.0352023,3,0
guided,800,8,0.0352023,4,0
guided,800,8,0.0352023,5,0
guided,800,8,0.0352023,6,0
guided,800,8,0.0352023,7,0
